,movie,year,imdb,metascore,votes
0,Eternal Sunshine of the Spotless Mind,2004,8.3,89,1.1M
1,The Incredibles,2004,8.0,90,804K
2,Kill Bill: Vol. 2,2004,8.0,83,801K
3,Million Dollar Baby,2004,8.1,86,719K
4,Spider-Man 2,2004,7.5,83,705K
5,Harry Potter and the Prisoner of Azkaban,2004,7.9,82,688K
6,The Notebook,2004,7.8,53,617K
7,Shaun of the Dead,2004,7.9,76,592K
8," I, Robot",2004,7.1,59,573K
9, Troy,2004,7.3,56,568K
10, The Butterfly Effect,2004,7.6,30,519K
11, Shrek 2,2004,7.3,75,502K
12, The Terminal,2004,7.4,55,493K
13, The Bourne Supremacy,2004,7.7,73,486K
14, The Day After Tomorrow,2004,6.5,47,475K
15, Saw,2004,7.6,46,465K
16, Crash,2004,7.7,66,448K
17, Howl's Moving Castle,2004,8.2,82,446K
18, Mean Girls,2004,7.1,66,432K
19, Collateral,2004,7.5,71,432K
20, The Machinist,2004,7.6,61,414K
21, Ocean's Twelve,2004,6.5,58,413K
22, Man on Fire,2004,7.7,47,388K
23, The Aviator,2004,7.5,77,383K
24, 50 First Dates,2004,6.8,48,380K
25, Anchorman: The Legend of Ron Burgundy,2004,7.1,63,377K
26, Downfall,2004,8.2,82,374K
27, Hotel Rwanda,2004,8.1,79,371K
28, National Treasure,2004,6.9,40,354K
29, Hellboy,2004,6.8,72,349K
30, Before Sunset,2004,8.1,91,287K
31, Meet the Fockers,2004,6.3,41,286K
32, Van Helsing,2004,6.1,35,284K
33, The Village,2004,6.6,44,277K
34, Dawn of the Dead,2004,7.3,59,271K
35, Dodgeball: A True Underdog Story,2004,6.7,55,266K
36, The Passion of the Christ,2004,7.2,47,248K
37, The Chronicles of Riddick,2004,6.6,38,241K
38, The Polar Express,2004,6.6,61,240K
39, The Girl Next Door,2004,6.7,47,239K
40, Napoleon Dynamite,2004,7.0,64,237K
41, Closer,2004,7.2,65,235K
42, Garden State,2004,7.4,67,223K
43, EuroTrip,2004,6.6,45,222K
44, A Series of Unfortunate Events,2004,6.8,62,221K
45, 13 Going on 30,2004,6.3,57,215K
46, Finding Neverland,2004,7.7,67,212K
47, AVP: Alien vs. Predator,2004,5.7,29,211K
48,Batman Begins,2005,8.2,70,1.6M
49,V for Vendetta,2005,8.2,62,1.2M
50,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,842K
51,Sin City,2005,8.0,74,792K
52,Harry Potter and the Goblet of Fire,2005,7.7,81,678K
53,Mr. & Mrs. Smith,2005,6.5,55,539K
54, Charlie and the Chocolate Factory,2005,6.7,72,527K
55, War of the Worlds,2005,6.5,73,474K
56, The 40 Year Old Virgin,2005,7.1,73,465K
57, King Kong,2005,7.2,81,445K
58, Madagascar,2005,6.9,57,436K
59," The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75,427K
60, Brokeback Mountain,2005,7.7,87,381K
61, Wedding Crashers,2005,7.0,64,375K
62, Constantine,2005,7.0,50,373K
63, Fantastic Four,2005,5.7,40,343K
64, Lord of War,2005,7.6,62,336K
65, Hitch,2005,6.6,58,334K
66, Pride & Prejudice,2005,7.8,82,329K
67, The Island,2005,6.8,50,327K
68, Kingdom of Heaven,2005,7.3,63,313K
69, Serenity,2005,7.8,74,305K
70, Corpse Bride,2005,7.4,83,298K
71, Saw II,2005,6.6,40,275K
72, Walk the Line,2005,7.8,72,265K
73, A History of Violence,2005,7.4,82,252K
74, The Descent,2005,7.2,71,246K
75, Munich,2005,7.5,74,238K
76, Kiss Kiss Bang Bang,2005,7.5,73,237K
77, Thank You for Smoking,2005,7.5,71,229K
78, Match Point,2005,7.6,72,228K
79, Transporter 2,2005,6.3,56,215K
80, The Hitchhiker's Guide to the Galaxy,2005,6.7,63,208K
81, Jarhead,2005,7.0,58,206K
82, Cinderella Man,2005,8.0,69,198K
83, The Longest Yard,2005,6.4,48,194K
84, Hostel,2005,5.9,55,190K
85, Flightplan,2005,6.3,53,171K
